"","gene_id","gene_type","logFC","AveExpr"
"14541","ANP32C","processed_pseudogene",0.449817926522256,0.0739725408539951
"14546","RNU6-668P","snRNA",0.380944080200912,0.169836608364135
"14099","RP11-214O14.1","processed_pseudogene",0.404279512682501,1.45653165012597
"14034","QRFPR","protein_coding",0.488619750044255,-1.74530314614119
"9189","AC019068.2","antisense",0.332324200837872,1.16260316392312
"3525","OR10AE1P","unprocessed_pseudogene",0.320190293983216,-1.36267220821997
"11271","RP11-517B11.6","unprocessed_pseudogene",0.378185159596748,-1.48449477144638
"14945","CTD-2194D22.1","antisense",0.406176118522423,-1.57088069785401
"9527","GRIP2","protein_coding",0.382598050407283,1.27607453866021
"5970","THUMPD2","protein_coding",0.330997768230971,-1.06041038834299
"11845","KRT8P13","processed_pseudogene",0.333480847907833,1.47358934968596
"15792","RP11-83M16.4","processed_pseudogene",0.350729381191646,-0.565217605618872
"6215","SNORD78","snoRNA",0.315667144986971,1.12966074628185
"7389","AC009303.3","processed_pseudogene",0.649235461593516,-1.95301967458465
"17836","RP1-140K8.1","lincRNA",0.324991053978402,1.7055083210234
"15540","FGF10-AS1","antisense",0.302032946591275,0.88958386720194
"12780","RP11-380P13.1","antisense",0.310844412885973,0.545555583332558
"14544","RP11-294O2.1","processed_pseudogene",0.307143444813198,0.947554717554617
"8596","RAPH1","protein_coding",0.31964956855115,-0.214421593128382
"15544","RP11-53O19.1","antisense",0.294504794981438,0.0799067435255719
"18832","TBC1D22B","protein_coding",0.342718997221323,-0.153328742352383
"10224","GPR62","protein_coding",0.366114789813008,0.29764761259388
"9979","LARS2-AS1","antisense",0.340682584439991,-0.955181888681376
"18131","C6orf62","protein_coding",0.375596030840346,-1.27515207743039
"10157","CTD-2330K9.3","antisense",0.405950325447342,-1.29803383842291
"18519","XXbac-BPG299F13.15","unprocessed_pseudogene",0.339819105023502,0.813700146036113
"12042","CYP2AB1P","transcribed_unitary_pseudogene",0.259552460971446,-0.731860485443594
"12265","RNU6ATAC24P","snRNA",-0.316612824752093,-1.24091376891747
"13564","RP11-576N17.2","processed_pseudogene",0.34424658950632,1.18100679508442
"14542","RP11-75A5.1","processed_pseudogene",0.288986286966654,0.963753404984955
"12770","RNU6-420P","snRNA",0.284058281834554,-0.736589822470625
"9958","ZNF35","protein_coding",0.347178018242233,-0.428500365035496
"14566","RP11-366M4.17","processed_pseudogene",0.374689522165781,-0.129425141225655
"15465","LINC00603","lincRNA",0.252694551635774,-0.535953826912674
"15250","Y_RNA","misc_RNA",0.337943037221574,-1.27459279703789
"11697","GFM1","protein_coding",0.290494501397552,3.84023733566691
"11797","RNU2-20P","snRNA",0.28599891338401,3.44827010957692
"11347","IL20RB","protein_coding",0.272108621459342,1.36671168564754
"18853","RP1-319M7.2","processed_pseudogene",0.493059217950792,-1.44600790965359
"17665","RP11-443C10.2","lincRNA",0.646880754131361,-2.17342823170939
"8315","AC080125.1","processed_pseudogene",0.222345073625716,4.08890160960259
"621","AKR7A3","protein_coding",0.258841482280639,-0.277348793509191
"14525","AC005150.1","lincRNA",0.295812444787725,-0.250175119334968
"15889","RPL7P22","processed_pseudogene",0.342316835504766,-0.566906433704992
"8703","HSPA8P6","processed_pseudogene",0.296352879466076,1.2139621293489
"3857","DNM3-IT1","sense_intronic",0.249841735331847,2.77274547745651
"7789","AC010090.1","lincRNA",0.28270433407131,1.78064289610704
"17680","RP11-1379J22.5","antisense",0.290359320041832,0.406575582495041
"14788","RP11-714G18.1","antisense",0.24529521474004,0.781992260403395
"18723","RN7SL26P","misc_RNA",0.248490038900778,1.74544920470465
"13318","RP13-644M16.5","unprocessed_pseudogene",0.332236472695574,-1.57995286065138
"3659","SLAMF6P1","unprocessed_pseudogene",0.294771386005946,-0.802685828847038
"1860","RNU6-1176P","snRNA",0.252258312185585,2.11738010917208
"10400","LINC00698","lincRNA",0.279978201638775,12.0156852824614
"7625","MTND1P26","unprocessed_pseudogene",0.343811280449766,-0.0285309872862329
"15063","SNHG18","lincRNA",0.254652000460037,0.899935098582737
"10506","RP11-654C22.2","lincRNA",0.351980730586428,-0.404851041284904
"12965","UCHL1","protein_coding",0.352866357519732,-1.03063018155392
"9528","RNU6-905P","snRNA",0.330447972012655,0.879214562743717
"18725","BAK1","protein_coding",0.234299580646816,2.14100464449166
"15879","MIR4803","miRNA",0.258465262933703,1.14929108923191
"1440","RP5-882O7.4","processed_pseudogene",0.26182924358456,0.536861305890766
"6340","AC007365.4","processed_pseudogene",0.264978858422694,-0.853756281440347
"6571","HK2","protein_coding",0.568115416382197,-1.32827761667853
"15035","RP11-480D4.2","lincRNA",0.276192706831172,3.66295355547075
"10039","ELP6","protein_coding",0.266964620627353,1.5742095402066
"115","VWA1","protein_coding",0.226755155224387,0.45359277073487
"14695","RP11-376O6.2","antisense",0.247600543834075,-0.382346780471395
"8097","RNU6-182P","snRNA",0.524620505763618,-1.62944895459875
"18704","PFDN6","protein_coding",0.195306479297251,1.0199835256503
"12651","MIR3138","miRNA",0.294397567043896,0.19100901863486
"4087","RNA5SP72","rRNA_pseudogene",0.281340866085753,-1.27895062163811
"13002","RN7SL193P","misc_RNA",0.52198297367988,-0.603600270398157
"1178","RNA5SP43","rRNA_pseudogene",0.20884397856072,3.35311492765463
"2552","Y_RNA","misc_RNA",0.278059096258456,0.850219254203712
"11509","RP11-501O2.5","lincRNA",0.252685271119026,1.81062315830696
"434","PRAMEF12","protein_coding",0.256963604737588,-1.37716424344784
"5746","PREB","protein_coding",0.293577869059629,-0.699814185912287
"5244","OR3D1P","unprocessed_pseudogene",0.288383156423733,1.24958250989554
"8284","AC013733.3","antisense",0.30016083255017,-1.41066795499485
"5642","RNA5SP87","rRNA_pseudogene",0.264872392494579,0.0385821054055317
"1441","MRPS17P1","processed_pseudogene",0.241785871999635,1.40651456516212
"12781","RP11-380P13.2","lincRNA",0.281733121394995,1.71173880786066
"790","RNU6-1208P","snRNA",0.280388627495659,-1.3625265160905
"14506","C4orf45","protein_coding",0.375996485158417,-0.758050769589732
"14549","RP11-366M4.2","processed_pseudogene",0.30390066790493,-1.00999643390035
"14696","AGA","protein_coding",0.240309010254873,0.110016233161557
"16848","KDM3B","protein_coding",0.242782057563174,0.861453983451328
"9526","SLC6A6","protein_coding",0.354269523896203,-1.46554457370792
"14565","RP11-366M4.15","processed_pseudogene",0.281158718406543,4.21839324052846
"4327","RP11-480I12.4","transcribed_unitary_pseudogene",0.212109554899826,0.868396986994129
"6968","AC012307.2","lincRNA",0.236125571083407,0.566739772784965
"10741","TMEM45A","protein_coding",0.21794480025009,0.939523180342518
"16941","VTRNA1-3","misc_RNA",0.278972629076613,-0.745805992030805
"15627","RP11-506H20.1","antisense",0.224774232447034,4.82656822980545
"9688","ZCWPW2","protein_coding",0.223099441360012,3.60005881699744
"9190","RPL3P5","transcribed_processed_pseudogene",0.301927367123606,0.131654971211052
"9525","RNA5SP124","rRNA_pseudogene",0.270374014647299,1.5417786604298
"15280","CTD-2194F12.1","processed_pseudogene",0.323006567113192,-0.488295700384084
"3162","AL589986.2","antisense",0.27071584324043,-0.671207010722183
"8078","AC007405.4","lincRNA",0.225904837051562,-1.09295500703873
"9340","RPL21P17","processed_pseudogene",0.324389098545569,-1.38783540771638
"8858","FEV","protein_coding",0.302184010940683,-0.751950724350771
"12772","RP11-10G12.1","processed_pseudogene",0.197837810838277,2.33466607494007
"998","RP1-65J11.1","lincRNA",-0.239132139611669,0.017860275963818
"2012","RNU6-161P","snRNA",0.210613775811521,1.38199087748255
"9173","AC114814.4","lincRNA",0.259281710802829,0.44307277050424
"9191","ACKR3","protein_coding",0.252822291890159,4.53462782745211
"1525","RP4-666O22.3","processed_pseudogene",-0.286181289782978,1.35462826519486
"704","RP1-224A6.3","lincRNA",0.263617807067129,1.50275591466599
"7790","TEX41","lincRNA",0.232244519268135,3.34575495366021
"16609","RP11-772E11.1","processed_pseudogene",-0.262099718173388,1.28128094706422
"8916","AC114765.2","lincRNA",0.26976887667431,-0.241402343660774
"9776","HSPD1P6","transcribed_processed_pseudogene",0.267173507916118,0.605981645590227
"4785","LIN9","protein_coding",0.261343274100928,0.708994955202904
"4049","RP11-317P15.6","processed_pseudogene",0.217519343962522,-0.204198299408701
"4845","RP11-245P10.6","lincRNA",-0.260613555436898,-0.569554326982753
"10615","RP11-331K15.1","lincRNA",-0.235246377365295,0.227585435042432
"18734","RP3-468B3.4","processed_pseudogene",0.244847586421411,-0.573349141139931
"2889","AC239860.1","transcribed_unprocessed_pseudogene",0.242317804413046,1.85436262306458
"3882","RP3-436N22.3","antisense",0.390146364242737,-1.46259949832503
"1790","RP11-430G17.3","lincRNA",0.259315481454118,1.7387644567299
"10968","RP11-484M3.5","protein_coding",0.227423485319732,-1.22667627913882
"15848","RP11-1415C14.4","unprocessed_pseudogene",0.221644917630612,2.64903651330558
"3051","ANP32E","protein_coding",0.246702173056857,-0.0450635851723397
"15722","RP11-631M6.3","processed_pseudogene",0.27035725773406,1.48278742485367
"9978","LARS2","protein_coding",0.260914111778024,-0.323626691432495
"14886","Y_RNA","misc_RNA",0.235265109752419,1.58150990780895
"15721","ZSWIM6","protein_coding",0.359056730587398,-1.61531377626864
"12583","RP11-1338A24.1","lincRNA",0.196208300775388,1.20609061764521
"4375","RP11-203F10.1","processed_pseudogene",0.262519736752925,0.403210012408366
"15334","MIR4279","miRNA",0.324071175388273,5.63552669860887
"14543","RNU6-284P","snRNA",0.267027924462047,0.225855873697623
"5888","AC012593.1","lincRNA",0.225777183231762,1.22734542741077
"18599","C6orf48","protein_coding",0.244744317556923,-0.103534510910035
"6664","RP11-60H5.1","lincRNA",0.205933950301542,1.47456213232889
"14005","RNU4-33P","snRNA",0.237592331699137,-0.923456125359018
"12720","FGFBP1","protein_coding",0.227102475473926,-0.747255998433632
"11055","PDIA5","protein_coding",-0.259398440659519,-1.09392533593078
"10415","PSMD6-AS2","antisense",0.234668214379004,-0.992216477667402
"14868","RARRES2P4","processed_pseudogene",-0.294401956144321,-1.40597894233703
"2906","AC243547.1","protein_coding",0.189785366666331,6.02907509547496
"18534","ZDHHC20P2","processed_pseudogene",0.298380059903286,-0.989338075684712
"8452","RNU6-1029P","snRNA",0.199226489701646,2.0946112502337
"7500","RNU6-395P","snRNA",0.193719855519229,5.91125807103817
"16145","RP11-72L22.1","lincRNA",0.295099838128811,-0.671977886644969
"8834","USP37","protein_coding",0.27232175790051,-0.0500026399896841
"4445","RP11-534L20.5","lincRNA",0.217962804398083,0.482604073065716
"15281","CDH9","protein_coding",0.284694295955837,-0.093143530492103
"9529","RHBDF1P1","processed_pseudogene",0.306163630491206,-1.41322210854546
"1777","RN7SL475P","misc_RNA",0.214274430489494,3.367053757608
"18726","LINC00336","lincRNA",0.20120355996798,4.01051088607382
"3938","PTP4A1P7","processed_pseudogene",0.233286005176134,-0.670561060241885
"4598","PROX1-AS1","processed_transcript",0.22230206939164,0.858131156078091
"15360","CTD-2233C11.2","lincRNA",0.216712919614197,0.952671489231378
"14238","Y_RNA","misc_RNA",0.167515720734982,7.84622153547222
"15285","RP11-560A7.1","processed_pseudogene",0.293142351141758,4.62750471345327
"11895","NAALADL2-AS2","antisense",0.232211418650226,-1.34992753829236
"9043","RNU6-268P","snRNA",0.299951705065057,0.890911778031255
"5681","PTRHD1","protein_coding",0.25541160691103,-1.33519444076792
"14641","MIR548T","miRNA",0.240743414086132,0.165150580508905
"14547","RP11-366M4.3","protein_coding",0.286472730700268,-1.00031558363132
"15952","CTD-2235C13.1","processed_pseudogene",0.207268577533331,2.5136788050657
"4378","PLEKHA6","protein_coding",0.274206699736638,0.678491910281985
"18562","PRRC2A","protein_coding",0.193045121539305,0.26148280476343
"6634","RN7SL201P","misc_RNA",0.264502278429468,-1.035940274432
